Transaction Date,Customer ID,Contractor ID,Service Code,Shift Total
1/29/2018,4,39345,UN,10
1/30/2018,4,97791,UN,10
1/31/2018,4,97791,UN,10
2/1/2018,4,97791,UN,10
2/2/2018,4,97791,UN,10
2/3/2018,4,97791,UN,10
2/5/2018,4,87155,UN,10
2/6/2018,4,97791,UN,10
2/7/2018,4,97791,UN,10
2/8/2018,4,97791,UN,10
2/9/2018,4,97791,UN,10
2/10/2018,4,42973,UN,10
1/29/2018,11,62092,QAUX,12
1/29/2018,11,84538,QAUX,12
1/29/2018,11,91716,QAUX,12
1/29/2018,11,94101,QDRI,15
1/30/2018,11,62092,QAUX,12
1/30/2018,11,84538,QAUX,12
1/30/2018,11,91716,QAUX,12
1/30/2018,11,94101,QDRI,15
1/31/2018,11,62092,QAUX,12
1/31/2018,11,84538,QAUX,12
1/31/2018,11,91716,QAUX,12
1/31/2018,11,94101,QDRI,15
2/1/2018,11,62092,QAUX,12
2/1/2018,11,84538,QAUX,12
2/1/2018,11,86395,QDRI,15
2/1/2018,11,91716,QAUX,12
2/2/2018,11,62092,QAUX,12
2/2/2018,11,84538,QAUX,12
2/2/2018,11,86395,QDRI,15
2/2/2018,11,91716,QAUX,12
2/3/2018,11,62092,QAUX,12
2/3/2018,11,84538,QAUX,12
2/3/2018,11,91716,QAUX,12
2/3/2018,11,94101,QDRI,15
2/4/2018,11,62092,QAUX,12
2/4/2018,11,84538,QAUX,12
2/4/2018,11,91716,QAUX,12
2/4/2018,11,94101,QDRI,15
2/5/2018,11,62092,QAUX,12
2/5/2018,11,84538,QAUX,12
2/5/2018,11,91716,QAUX,12
2/5/2018,11,94101,QDRI,15
2/6/2018,11,62092,QAUX,12
2/6/2018,11,84538,QAUX,12
2/6/2018,11,91716,QAUX,12
2/6/2018,11,94101,QDRI,15
2/7/2018,11,62092,QAUX,12
2/7/2018,11,84538,QAUX,12
2/7/2018,11,91716,QAUX,12
2/7/2018,11,94101,QDRI,15
2/8/2018,11,62092,QAUX,12
2/8/2018,11,84538,QAUX,12
2/8/2018,11,86395,QDRI,15
2/8/2018,11,91716,QAUX,12
2/9/2018,11,62092,QAUX,12
2/9/2018,11,84538,QAUX,12
2/9/2018,11,86395,QDRI,15
2/9/2018,11,91716,QAUX,12
2/10/2018,11,62092,QAUX,12
2/10/2018,11,84538,QAUX,12
2/10/2018,11,91716,QAUX,12
2/10/2018,11,94101,QDRI,15
2/11/2018,11,62092,QAUX,12
2/11/2018,11,84538,QAUX,12
2/11/2018,11,91716,QAUX,12
2/11/2018,11,94101,QDRI,15
1/29/2018,14,29086,UN,12
1/30/2018,14,29086,UN,12
1/31/2018,14,29086,UN,12
2/1/2018,14,29086,UN,12
2/2/2018,14,75769,UN,12
2/5/2018,14,29086,UN,12
